Date,wx_temperature_2m_mean,wx_temperature_2m_max,wx_temperature_2m_min,wx_precipitation_sum,wx_precipitation_hours,wx_snowfall_sum,wx_cloud_cover_mean,wx_wind_speed_10m_max,obs_precip_evening
2024-06-05,22.4,29.7,16.0,0.0,0.0,0.0,71,17.7,0.0
2024-06-06,22.5,29.5,17.1,0.2,1.0,0.0,65,14.5,0.2
2024-06-07,21.0,27.2,15.2,0.0,0.0,0.0,100,16.1,0.0
2024-06-08,19.4,23.7,16.7,15.8,13.0,0.0,70,14.5,0.0
2024-06-09,20.8,27.3,15.3,0.0,0.0,0.0,73,17.0,0.0
2024-06-10,22.4,29.5,16.0,0.0,0.0,0.0,17,20.1,0.0
2024-06-11,23.0,30.4,18.5,0.0,0.0,0.0,64,20.8,0.0
2024-06-12,23.2,30.6,15.7,0.0,0.0,0.0,56,19.1,0.0
2024-06-13,24.6,31.8,18.2,0.0,0.0,0.0,15,16.7,0.0
2024-06-14,24.9,32.9,18.1,0.0,0.0,0.0,64,21.0,0.0
2024-06-15,22.7,27.7,20.2,7.2,15.0,0.0,78,18.5,0.8999999999999999
2024-06-16,22.3,28.6,16.8,0.1,1.0,0.0,8,20.8,0.0
2024-06-17,22.3,28.8,16.6,0.0,0.0,0.0,68,19.5,0.0
2024-06-18,23.5,31.2,17.4,0.0,0.0,0.0,1,18.6,0.0
2024-06-19,26.2,34.7,18.0,0.0,0.0,0.0,52,13.0,0.0
2024-06-20,27.2,35.6,20.0,0.0,0.0,0.0,50,19.8,0.0
2024-06-21,26.4,32.6,21.3,0.0,0.0,0.0,94,18.2,0.0
2024-06-22,23.3,24.7,22.6,26.3,13.0,0.0,99,12.1,0.2
2024-06-23,24.0,28.6,20.7,7.2,9.0,0.0,78,21.9,2.8
2024-06-24,22.6,26.6,19.6,11.1,9.0,0.0,77,21.5,0.0
2024-06-25,20.9,24.9,16.2,1.0,3.0,0.0,53,22.9,0.0
2024-06-26,22.2,29.0,16.5,0.3,3.0,0.0,26,17.8,0.0
2024-06-27,24.5,30.1,18.9,0.0,0.0,0.0,49,7.0,0.0
2024-06-28,24.5,30.8,19.3,0.0,0.0,0.0,38,14.8,0.0
2024-06-29,25.4,32.7,19.4,34.5,6.0,0.0,62,20.6,25.6
2024-06-30,22.9,24.8,20.9,4.5,15.0,0.0,91,30.8,0.0
2024-07-01,24.1,29.8,20.3,0.0,0.0,0.0,75,16.0,0.0
2024-07-02,23.1,24.2,21.8,57.7,15.0,0.0,100,22.0,1.7
2024-07-03,24.1,26.5,22.6,5.5,20.0,0.0,69,26.9,1.2
2024-07-04,24.9,28.8,21.1,4.1,12.0,0.0,81,25.7,3.2
2024-07-05,23.1,24.8,21.1,1.9,12.0,0.0,87,31.4,0.0
2024-07-06,24.3,29.8,20.9,25.1,16.0,0.0,98,33.4,8.7
2024-07-07,23.4,27.3,19.3,18.1,7.0,0.0,97,17.6,16.8
2024-07-08,23.1,25.3,21.9,37.7,21.0,0.0,94,14.2,8.1
2024-07-09,23.2,26.4,20.5,8.3,11.0,0.0,100,20.5,3.5
2024-07-10,25.5,30.1,22.1,15.1,6.0,0.0,44,17.7,0.0
2024-07-11,23.6,27.1,21.2,0.4,3.0,0.0,71,13.9,0.0
2024-07-12,24.4,30.1,20.7,0.6,3.0,0.0,60,10.9,0.0
2024-07-13,25.8,31.1,21.8,5.6,6.0,0.0,32,11.8,0.1
2024-07-14,25.9,30.5,22.3,1.4,6.0,0.0,70,16.2,1.0
2024-07-15,26.4,30.8,22.0,0.3,3.0,0.0,46,13.7,0.1
2024-07-16,25.5,29.8,23.2,17.8,15.0,0.0,67,15.1,10.899999999999999
2024-07-17,24.7,26.9,22.3,89.6,24.0,0.0,98,22.4,2.6
2024-07-18,24.4,25.4,23.3,60.6,18.0,0.0,100,24.1,0.0
2024-07-19,25.2,29.0,23.1,1.2,8.0,0.0,81,17.7,0.0
2024-07-20,25.3,29.6,22.4,25.8,10.0,0.0,97,25.7,20.900000000000002
2024-07-21,25.5,29.0,22.7,7.4,15.0,0.0,69,37.1,0.0
2024-07-22,26.1,27.6,24.6,41.4,21.0,0.0,100,37.5,0.7999999999999999
2024-07-23,24.9,26.5,23.7,26.2,20.0,0.0,98,34.2,0.5
